Ticket ID,Ticket Status,Ticket Priority,Date of Purchase,Time to Resolution,Lifespan_Hours
188,Pending Customer Response,Low,2021-01-19,,
189,Closed,High,2021-01-10,2023-06-01 07:32:03,20935.534166666668
190,Open,Critical,2020-04-25,,
191,Pending Customer Response,Critical,2021-02-09,,
192,Pending Customer Response,Low,2020-10-14,,
193,Closed,Medium,2021-10-28,2023-05-31 22:49:09,13942.819166666666
194,Pending Customer Response,Critical,2021-09-03,,
195,Closed,Medium,2021-06-15,2023-06-01 11:49:11,17195.819722222222
196,Open,High,2020-06-11,,
197,Pending Customer Response,Low,2021-08-08,,
198,Closed,High,2021-01-28,2023-05-31 22:36:15,20494.604166666668
199,Closed,Critical,2021-07-23,2023-06-01 19:24:17,16291.404722222222
200,Closed,Medium,2020-09-19,2023-06-01 20:34:19,23660.571944444444
201,Open,Critical,2021-01-13,,
202,Open,Medium,2021-12-16,,
203,Open,Medium,2021-04-01,,
204,Pending Customer Response,Low,2020-05-19,,
205,Closed,High,2020-06-11,2023-06-01 17:50:28,26057.841111111113
206,Closed,Medium,2020-11-24,2023-06-01 11:18:29,22067.308055555557
207,Open,High,2020-11-04,,
208,Pending Customer Response,Critical,2021-07-27,,
209,Open,High,2021-03-12,,
210,Closed,Low,2020-02-04,2023-06-01 20:10:34,29132.176111111112
211,Pending Customer Response,Low,2020-01-16,,
212,Pending Customer Response,Low,2020-04-06,,
213,Open,Medium,2021-04-15,,
214,Open,High,2021-12-24,,
215,Open,Low,2020-03-03,,
216,Open,Critical,2021-09-13,,
217,Pending Customer Response,High,2021-01-03,,
218,Open,Low,2020-12-02,,
219,Pending Customer Response,Critical,2021-02-12,,
220,Closed,Critical,2021-09-23,2023-06-01 11:02:49,14795.046944444444
221,Closed,Medium,2021-03-21,2023-06-01 05:45:51,19253.764166666668
222,Pending Customer Response,Critical,2021-03-27,,
223,Pending Customer Response,Critical,2021-02-05,,
224,Pending Customer Response,Low,2020-05-27,,
225,Open,Medium,2020-11-16,,
226,Closed,High,2020-03-29,2023-05-31 21:54:57,27813.915833333333
227,Closed,High,2021-01-04,2023-06-01 16:11:59,21088.199722222223
228,Pending Customer Response,Low,2020-03-08,,
229,Open,Low,2020-07-21,,
230,Closed,Critical,2021-02-20,2023-06-01 10:40:04,19954.667777777777
231,Pending Customer Response,Low,2020-06-29,,
232,Pending Customer Response,High,2020-10-31,,
233,Open,High,2021-03-21,,
234,Pending Customer Response,High,2021-02-01,,
235,Open,Critical,2020-03-29,,
236,Pending Customer Response,Critical,2020-12-04,,
237,Closed,Critical,2021-01-07,2023-06-01 00:43:14,21000.720555555556
238,Closed,High,2021-09-16,2023-06-01 08:38:16,14960.637777777778
239,Pending Customer Response,Critical,2021-01-21,,
240,Open,Low,2020-02-22,,
241,Closed,Low,2021-07-25,2023-06-01 09:42:21,16233.705833333333
242,Closed,Low,2021-10-26,2023-06-01 21:49:23,14013.823055555555
243,Open,Critical,2021-05-29,,
244,Pending Customer Response,Critical,2020-05-21,,
245,Pending Customer Response,Medium,2020-01-15,,
246,Pending Customer Response,Medium,2020-04-07,,
247,Pending Customer Response,Medium,2020-02-09,,
248,Open,Medium,2020-01-22,,
249,Pending Customer Response,Critical,2021-04-22,,
250,Closed,High,2021-09-20,2023-06-01 14:34:34,14870.576111111111
251,Closed,Critical,2021-07-27,2023-06-01 08:04:34,16184.076111111111
252,Pending Customer Response,Critical,2020-12-05,,
253,Pending Customer Response,High,2020-03-20,,
254,Pending Customer Response,High,2021-11-13,,
255,Pending Customer Response,Low,2021-05-15,,
256,Open,High,2020-11-22,,
257,Pending Customer Response,High,2021-07-18,,
258,Open,High,2020-06-09,,
259,Open,High,2021-02-05,,
260,Closed,Low,2021-08-14,2023-06-01 11:26:46,15755.44611111111
261,Pending Customer Response,High,2021-05-04,,
262,Open,Critical,2021-01-22,,
263,Closed,Medium,2021-12-11,2023-06-01 00:08:50,12888.147222222222
264,Open,Medium,2021-01-23,,
265,Closed,Critical,2021-06-28,2023-06-01 04:42:52,16876.714444444446
266,Closed,Medium,2020-04-27,2023-06-01 16:15:54,27136.265
267,Open,High,2020-10-03,,
268,Open,Low,2020-02-22,,
269,Pending Customer Response,Medium,2020-08-21,,
270,Closed,High,2021-05-10,2023-06-01 16:09:57,18064.165833333333
271,Closed,Critical,2021-01-08,2023-06-01 13:27:58,20989.466111111113
272,Open,Critical,2021-07-15,,
273,Pending Customer Response,Critical,2021-10-25,,
274,Open,High,2020-04-05,,
275,Open,Medium,2021-04-16,,
276,Open,Low,2021-05-01,,
277,Open,Medium,2021-12-01,,
278,Closed,Medium,2020-02-26,2023-06-01 14:25:06,28598.418333333335
279,Closed,Low,2021-06-07,2023-05-31 23:05:08,17375.085555555557
280,Pending Customer Response,High,2021-06-24,,
281,Closed,Critical,2021-05-08,2023-06-01 16:09:11,18112.153055555555
282,Pending Customer Response,Low,2020-11-11,,
283,Open,Low,2021-08-12,,
284,Open,Critical,2021-01-06,,
285,Pending Customer Response,Low,2020-03-24,,
286,Pending Customer Response,Medium,2021-11-06,,
287,Pending Customer Response,Critical,2021-10-23,,
288,Open,Low,2020-07-06,,
289,Open,High,2020-10-21,,
290,Pending Customer Response,Critical,2020-03-21,,
291,Pending Customer Response,Low,2020-04-04,,
292,Open,High,2021-01-27,,
293,Closed,High,2021-12-09,2023-06-01 09:47:23,12945.789722222222
294,Open,Critical,2021-06-07,,
295,Closed,Critical,2020-09-03,2023-06-01 00:15:25,24024.256944444445
296,Open,Medium,2021-03-20,,
297,Closed,Medium,2021-04-02,2023-06-01 08:26:26,18968.440555555557
298,Closed,Critical,2020-09-12,2023-06-01 17:40:28,23825.674444444445
299,Open,Low,2020-06-26,,
300,Pending Customer Response,Medium,2021-10-06,,
301,Open,High,2020-10-07,,
302,Open,Medium,2020-05-03,,
303,Closed,Medium,2020-01-22,2023-06-01 01:53:37,29425.89361111111
304,Pending Customer Response,Medium,2021-07-26,,
305,Closed,Medium,2021-03-06,2023-06-01 21:20:39,19629.344166666666
306,Open,Critical,2020-08-17,,
307,Closed,Low,2021-07-05,2023-06-01 20:10:42,16724.178333333333
308,Pending Customer Response,Critical,2020-05-05,,
309,Open,High,2021-04-20,,
310,Open,High,2020-07-17,,
311,Closed,High,2020-09-06,2023-06-01 04:49:48,23956.83
312,Closed,Critical,2020-07-18,2023-06-01 09:18:48,25161.31333333333
313,Closed,Medium,2020-06-26,2023-06-01 01:29:50,25681.49722222222
314,Open,Low,2021-07-04,,
315,Closed,High,2021-01-15,2023-06-01 05:41:53,20813.698055555556
316,Pending Customer Response,Critical,2020-09-02,,
317,Open,High,2021-08-15,,
318,Closed,Low,2020-05-03,2023-05-31 23:53:56,26975.89888888889
319,Pending Customer Response,Medium,2021-09-10,,
320,Open,Critical,2021-07-06,,
321,Closed,Medium,2021-08-09,2023-06-01 05:11:01,15869.183611111112
322,Open,High,2020-10-12,,
323,Closed,Critical,2021-11-24,2023-05-31 23:56:03,13295.934166666666
324,Open,Critical,2021-01-15,,
325,Pending Customer Response,Low,2020-03-11,,
326,Closed,Low,2020-01-27,2023-06-01 11:28:07,29315.46861111111
327,Pending Customer Response,Critical,2020-07-14,,
328,Open,Low,2020-11-22,,
329,Open,Medium,2021-08-09,,
330,Closed,Medium,2021-10-21,2023-06-01 09:59:12,14121.986666666666
331,Open,Low,2020-08-06,,
332,Pending Customer Response,Medium,2020-07-09,,
333,Closed,Medium,2020-04-18,2023-06-01 19:56:18,27355.93833333333
334,Closed,Medium,2021-02-06,2023-05-31 23:46:19,20279.771944444445
335,Pending Customer Response,High,2021-04-20,,
336,Open,High,2021-06-29,,
337,Pending Customer Response,Critical,2020-10-16,,
338,Open,High,2021-06-16,,
339,Closed,Critical,2021-02-07,2023-06-01 16:42:25,20272.706944444446
340,Closed,Low,2020-02-25,2023-06-01 11:02:26,28619.040555555555
341,Open,Medium,2020-11-05,,
342,Pending Customer Response,Critical,2021-11-25,,
343,Closed,Low,2021-01-20,2023-06-01 21:15:28,20709.257777777777
344,Open,Medium,2021-08-16,,
345,Closed,High,2021-05-16,2023-06-01 17:25:31,17921.425277777777
346,Closed,High,2021-04-12,2023-06-01 07:13:32,18727.225555555557
347,Open,Low,2021-05-17,,
348,Open,Medium,2021-03-19,,
349,Pending Customer Response,Medium,2021-10-13,,
350,Closed,Critical,2020-07-15,2023-06-01 17:25:36,25241.426666666666
351,Closed,Critical,2021-10-27,2023-06-01 17:15:38,13985.260555555555
352,Pending Customer Response,Medium,2021-12-19,,
353,Closed,High,2020-12-14,2023-06-01 10:42:40,21586.71111111111
354,Closed,Critical,2021-12-29,2023-06-01 04:54:42,12460.911666666667
355,Pending Customer Response,Medium,2020-07-11,,
356,Pending Customer Response,High,2020-01-06,,
357,Closed,High,2021-10-14,2023-06-01 20:42:47,14300.713055555556
358,Open,Critical,2021-11-18,,
359,Pending Customer Response,Low,2021-01-03,,
360,Open,Critical,2020-08-21,,
361,Closed,Medium,2020-02-05,2023-06-01 08:39:52,29096.664444444443
362,Closed,Medium,2020-12-05,2023-06-01 14:54:54,21806.915
363,Open,Low,2021-03-14,,
364,Open,Critical,2020-08-21,,
365,Closed,High,2021-09-25,2023-06-01 20:10:58,14756.182777777778
366,Closed,Medium,2020-02-02,2023-06-01 07:18:59,29167.31638888889
367,Open,Critical,2021-07-08,,
368,Open,Critical,2021-03-08,,
369,Pending Customer Response,Low,2020-09-19,,
370,Pending Customer Response,Low,2021-11-17,,
371,Closed,Medium,2020-10-31,2023-05-31 23:26:04,22631.434444444443
372,Closed,Medium,2021-02-21,2023-05-31 22:59:05,19918.984722222223
373,Closed,Medium,2021-11-04,2023-06-01 21:08:06,13797.135
374,Closed,Critical,2021-06-01,2023-06-01 11:42:08,17531.702222222222
375,Pending Customer Response,Low,2020-02-21,,
376,Closed,Low,2021-08-12,2023-06-01 20:11:11,15812.18638888889
377,Pending Customer Response,Low,2021-05-10,,
378,Open,Medium,2020-12-17,,
379,Closed,Medium,2020-07-19,2023-05-31 22:18:15,25126.304166666665
380,Open,Medium,2020-10-07,,
381,Closed,Low,2020-05-03,2023-06-01 13:10:19,26989.171944444446
382,Closed,High,2021-09-07,2023-05-31 23:14:20,15167.238888888889
383,Open,Critical,2020-04-28,,
384,Closed,High,2020-12-16,2023-06-01 13:00:21,21541.005833333333
385,Open,Critical,2021-01-19,,
386,Closed,Medium,2020-10-25,2023-06-01 11:32:25,22787.540277777778
387,Closed,Critical,2021-07-17,2023-05-31 23:21:27,16415.3575
388,Closed,High,2020-12-08,2023-06-01 17:28:28,21737.474444444444
389,Pending Customer Response,Medium,2020-08-09,,
390,Pending Customer Response,Medium,2021-09-12,,
391,Closed,High,2021-07-09,2023-06-01 17:47:33,16625.7925
392,Pending Customer Response,High,2020-05-29,,
393,Pending Customer Response,Critical,2021-01-21,,
394,Pending Customer Response,High,2021-08-27,,
395,Closed,Critical,2020-02-26,2023-06-01 12:07:38,28596.12722222222
396,Closed,Low,2020-12-26,2023-06-01 08:31:39,21296.5275
397,Pending Customer Response,Low,2021-02-23,,
398,Open,Medium,2020-12-23,,
399,Pending Customer Response,Critical,2021-04-02,,
400,Pending Customer Response,High,2020-04-18,,
401,Open,Medium,2021-04-13,,
402,Pending Customer Response,Medium,2021-12-14,,
403,Closed,Medium,2021-06-01,2023-06-01 08:51:49,17528.863611111112
404,Closed,Low,2021-11-11,2023-05-31 22:34:50,13606.580555555556
405,Closed,Critical,2021-08-30,2023-06-01 13:11:51,15373.1975
406,Open,Low,2020-04-03,,
407,Open,High,2020-03-11,,
408,Open,Medium,2020-08-18,,
409,Closed,Critical,2020-03-20,2023-06-01 02:29:58,28034.499444444446
410,Open,Medium,2021-10-01,,
411,Pending Customer Response,Low,2020-08-12,,
412,Closed,Low,2021-05-16,2023-06-01 06:59:02,17910.983888888888
413,Pending Customer Response,Medium,2021-03-22,,
414,Open,Low,2020-12-31,,
415,Open,Critical,2020-01-12,,
416,Open,Critical,2021-01-09,,
417,Open,Low,2020-03-06,,
418,Open,Critical,2020-06-12,,
419,Closed,Low,2020-06-17,2023-06-01 20:41:10,25916.68611111111
420,Open,Critical,2020-11-26,,
421,Pending Customer Response,Critical,2020-03-14,,
422,Pending Customer Response,Medium,2021-08-11,,
423,Pending Customer Response,Low,2021-10-14,,
424,Pending Customer Response,High,2020-04-19,,
425,Pending Customer Response,High,2020-05-28,,
426,Open,Low,2021-07-03,,
427,Pending Customer Response,High,2021-05-30,,
428,Open,Medium,2020-11-23,,
429,Closed,High,2020-04-21,2023-06-01 06:23:26,27270.390555555554
430,Closed,Low,2021-02-12,2023-06-01 16:26:28,20152.44111111111
431,Pending Customer Response,Low,2020-09-23,,
432,Pending Customer Response,Low,2020-05-03,,
433,Pending Customer Response,Medium,2020-07-26,,
434,Open,Low,2021-03-25,,
435,Open,Medium,2021-03-13,,
436,Pending Customer Response,Critical,2021-01-12,,
437,Open,Low,2020-08-24,,
438,Closed,Critical,2021-04-25,2023-06-01 16:12:35,18424.209722222222
439,Closed,Medium,2021-05-22,2023-06-01 01:54:37,17761.910277777777
440,Closed,Low,2021-10-29,2023-06-01 20:08:38,13940.14388888889
441,Open,Low,2020-10-27,,
442,Closed,Medium,2020-05-27,2023-06-01 04:43:42,26404.728333333333
443,Pending Customer Response,Low,2020-03-26,,
444,Closed,Medium,2021-04-22,2023-06-01 12:06:44,18492.112222222222
445,Closed,Medium,2020-11-24,2023-06-01 14:40:46,22070.679444444446
446,Open,Low,2020-07-20,,
447,Pending Customer Response,Medium,2020-11-17,,
448,Pending Customer Response,High,2021-09-11,,
449,Pending Customer Response,Medium,2020-11-04,,
450,Closed,Critical,2020-02-04,2023-06-01 05:56:53,29117.948055555556
451,Pending Customer Response,Critical,2021-08-12,,
452,Pending Customer Response,Low,2020-04-24,,
453,Open,Critical,2020-11-03,,
454,Closed,High,2021-04-01,2023-05-31 23:53:59,18983.89972222222
455,Pending Customer Response,Critical,2021-01-06,,
456,Closed,Low,2021-03-14,2023-06-01 06:25:02,19422.417222222222
457,Open,Low,2021-01-30,,
458,Pending Customer Response,Critical,2021-01-02,,
459,Closed,Low,2020-07-13,2023-06-01 11:28:05,25283.468055555557
460,Closed,Low,2021-02-20,2023-06-01 11:52:07,19955.868611111113
461,Open,Low,2021-11-16,,
462,Closed,Critical,2020-09-22,2023-06-01 13:29:11,23581.48638888889
463,Pending Customer Response,Medium,2020-12-22,,
464,Closed,Medium,2020-07-17,2023-06-01 08:26:14,25184.437222222223
465,Pending Customer Response,Critical,2021-10-17,,
466,Pending Customer Response,High,2020-02-27,,
467,Open,Medium,2021-08-01,,
468,Closed,Critical,2020-04-26,2023-06-01 07:01:20,27151.022222222222
469,Closed,Low,2020-09-16,2023-05-31 23:16:22,23711.272777777776
470,Open,Low,2021-10-17,,
471,Closed,Critical,2021-04-26,2023-06-01 12:24:25,18396.406944444443
472,Pending Customer Response,High,2020-11-27,,
473,Closed,Medium,2021-06-04,2023-06-01 10:51:26,17458.85722222222
474,Open,Medium,2021-10-08,,
475,Closed,Low,2021-12-02,2023-06-01 02:25:30,13106.425
476,Open,High,2020-06-28,,
477,Open,Low,2020-08-30,,
478,Open,Critical,2021-10-14,,
479,Pending Customer Response,Low,2021-10-11,,
480,Open,Critical,2020-01-07,,
481,Open,Medium,2021-03-19,,
482,Pending Customer Response,High,2020-01-10,,
483,Open,Medium,2021-09-13,,
484,Closed,Low,2020-09-24,2023-06-01 00:26:41,23520.444722222222
485,Closed,Critical,2021-07-25,2023-06-01 07:18:43,16231.311944444444
486,Closed,Medium,2021-06-20,2023-06-01 12:23:44,17076.395555555555
487,Pending Customer Response,High,2021-11-15,,
488,Open,Critical,2021-04-05,,
489,Open,Medium,2021-09-18,,
490,Open,High,2020-09-08,,
491,Pending Customer Response,Low,2021-08-03,,
492,Open,High,2021-12-22,,
493,Closed,Critical,2020-03-16,2023-06-01 06:56:55,28134.94861111111
494,Open,Critical,2020-04-27,,
495,Open,Low,2020-02-24,,
496,Closed,Low,2021-12-04,2023-06-01 21:03:59,13077.066388888888
497,Closed,Medium,2020-11-06,2023-06-01 11:38:00,22499.633333333335
498,Open,Medium,2021-01-11,,
499,Open,Critical,2021-01-04,,
500,Open,Critical,2020-05-18,,
501,Closed,High,2020-08-22,2023-06-01 16:30:07,24328.501944444444
502,Closed,Critical,2021-05-29,2023-06-01 17:52:08,17609.86888888889
503,Open,High,2021-06-10,,
504,Closed,Medium,2021-08-20,2023-06-01 17:04:12,15617.07
505,Pending Customer Response,Low,2020-10-14,,
506,Pending Customer Response,Critical,2021-04-09,,
507,Pending Customer Response,Critical,2020-05-20,,
508,Pending Customer Response,Critical,2020-02-05,,
509,Open,Low,2021-08-21,,
510,Closed,High,2021-12-15,2023-06-01 16:42:20,12808.705555555556
511,Pending Customer Response,Low,2020-07-10,,
512,Closed,Low,2021-09-16,2023-06-01 08:45:23,14960.756388888889
513,Pending Customer Response,Low,2021-10-18,,
514,Pending Customer Response,Critical,2021-06-26,,
515,Closed,Critical,2021-02-12,2023-06-01 13:23:28,20149.391111111112
516,Closed,Medium,2021-04-01,2023-05-31 23:55:29,18983.924722222222
517,Closed,Critical,2020-03-03,2023-06-01 12:48:30,28452.808333333334
518,Open,High,2021-09-24,,
519,Closed,Critical,2021-01-07,2023-06-01 18:17:33,21018.2925
520,Open,Critical,2021-07-29,,
521,Pending Customer Response,Critical,2021-08-20,,
522,Pending Customer Response,Low,2020-02-05,,
523,Open,High,2021-08-02,,
524,Open,High,2021-04-10,,
525,Closed,Low,2020-10-21,2023-06-01 04:39:41,22876.66138888889
526,Closed,Medium,2020-12-19,2023-06-01 07:55:43,21463.92861111111
527,Closed,Critical,2021-06-05,2023-06-01 21:18:45,17445.3125
